"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.32600000000E+009, -3.36018748018E+000, +0.00000000000E+000
+1.33325000000E+009, -3.36274009257E+000, +0.00000000000E+000
+1.34050000000E+009, -3.38274998951E+000, +0.00000000000E+000
+1.34775000000E+009, -3.38896703589E+000, +0.00000000000E+000
+1.35500000000E+009, -3.41491330533E+000, +0.00000000000E+000
+1.36225000000E+009, -3.43228265930E+000, +0.00000000000E+000
+1.36950000000E+009, -3.47635512625E+000, +0.00000000000E+000
+1.37675000000E+009, -3.51482438424E+000, +0.00000000000E+000
+1.38400000000E+009, -3.49436666143E+000, +0.00000000000E+000
+1.39125000000E+009, -3.53719862041E+000, +0.00000000000E+000
+1.39850000000E+009, -3.56782409957E+000, +0.00000000000E+000
+1.40575000000E+009, -3.52664150077E+000, +0.00000000000E+000
+1.41300000000E+009, -3.53556759227E+000, +0.00000000000E+000
+1.42025000000E+009, -3.56796938168E+000, +0.00000000000E+000
+1.42750000000E+009, -3.56178586071E+000, +0.00000000000E+000
+1.43475000000E+009, -3.54702808354E+000, +0.00000000000E+000
+1.44200000000E+009, -3.56532716939E+000, +0.00000000000E+000
+1.44925000000E+009, -3.58622695260E+000, +0.00000000000E+000
+1.45650000000E+009, -3.57967164090E+000, +0.00000000000E+000
+1.46375000000E+009, -3.58280592053E+000, +0.00000000000E+000
+1.47100000000E+009, -3.61517602121E+000, +0.00000000000E+000
+1.47825000000E+009, -3.64615170727E+000, +0.00000000000E+000
+1.48550000000E+009, -3.65341354333E+000, +0.00000000000E+000
+1.49275000000E+009, -3.70631987524E+000, +0.00000000000E+000
+1.50000000000E+009, -3.73433694996E+000, +0.00000000000E+000
